Count,Timestamp,"What location is this salary for? Select Remote-US if applicable. If Remote Canada, select Canadian HQ location. ",Position Title,"Base Salary $ (please quote in CAD) eg. 120,000 please DO NOT put ranges","Equity value (please quote into monetary value) eg. 20,000","Bonus, including sign on bonus $ (please quote in CAD, 0 if none) eg. 20,000",Other cash or equity,Total Compensation,"Years of Experience,  please include internships and co-ops eg. 1, 2.5, 5","Highest Education Achieved (most relevant, if possible)",Did you attend a tech bootcamp?,What year is this salary applicable for? ,Industry,"If you selected ""Other"" for industry, what industry is it?","Is this company considered to be FAANG/MMANGA (Microsoft, Apple, Amazon, Google, Facebook/Meta)",Company Size,,,Company Name (optional) 
462,8/30/2022 12:52:15,Ontario (ON),Software Engineer,"$84,150.00",$0.00,$0.00,,"$84,150.00",3.5,Diploma - Related,No,2022,Health & Medicine,,No,< 10,,,
463,8/30/2022 18:36:20,Ontario (ON),Software Engineer,"$110,000.00","$48,500.00","$16,500.00",,"$175,000.00",3,Masters - Unrelated,No,2022,Tech,,Yes,1000+,,,
464,8/31/2022 15:22:38,Alberta (AB),Full stack Software Developer,"$80,000.00",$0.00,"$9,000.00",,"$89,000.00",0.5,Bachelor's Degree - Unrelated,No,2022,Tech,,No,11-50,,,
465,9/3/2022 16:39:53,Ontario (ON),Software Development Engineer in Test,"$105,000.00",$0.00,"$5,000.00",,"$110,000.00",3,Bachelor's Degree - Related,No,2022,Other,,No,501-1000,,,
466,9/6/2022 7:57:53,Quebec (QC),Junior Software Engineer,"$87,000.00",$0.00,$0.00,"3,000","$90,000.00",0,Bachelor's Degree - Related,No,2022,FinTech,,No,501-1000,,,
467,9/6/2022 10:40:19,Quebec (QC),Junior Software Developer,"$80,000.00",$0.00,"$7,000.00",,"$87,000.00",1,Bachelor's Degree - Related,No,2022,Tech,,No,101-200,,,
468,9/7/2022 15:13:14,British Columbia (BC),Junior Fullstack Software Engineer,"$75,000.00","$2,000.00",$0.00,0,"$77,000.00",1,Masters - Related,No,2022,Education,,No,301-500,,,Thinkific Labs Inc.
469,9/10/2022 7:03:29,British Columbia (BC),Software Developer Engineer 2,"$145,600.00","$36,000.00","$51,000.00",,"$232,600.00",3.4,Bachelor's Degree - Related,No,2022,Tech,,Yes,1000+,,,Amazon
470,9/10/2022 17:54:21,Quebec (QC),Tech Lead,"$145,000.00","$15,000.00",$0.00,0,"$160,000.00",13,Certificate - Related,No,2022,FinTech,,No,101-200,,,
471,9/13/2022 8:06:57,Newfoundland & Labrador (NL),Database developer ,"$110,000.00",$0.00,$0.00,,"$110,000.00",20,Masters - Related,No,2022,Government,,No,1000+,,,
472,9/13/2022 19:08:02,Ontario (ON),Cloud Solution Architect,"$81,000.00","$8,000.00","$24,300.00",6600,"$119,900.00",1,Bachelor's Degree - Related,No,2022,Tech,,Yes,1000+,,,Microsoft 
473,9/17/2022 23:44:57,Ontario (ON),Cloud Developer,"$84,000.00",$0.00,"$5,500.00",,"$89,500.00",0,Diploma - Related,No,2022,Other,Banking,No,1000+,,,
