Count,Timestamp,"What location is this salary for? Select Remote-US if applicable. If Remote Canada, select Canadian HQ location. ",Position Title,"Base Salary $ (please quote in CAD) eg. 120,000 please DO NOT put ranges","Equity value (please quote into monetary value) eg. 20,000","Bonus, including sign on bonus $ (please quote in CAD, 0 if none) eg. 20,000",Other cash or equity,Total Compensation,"Years of Experience,  please include internships and co-ops eg. 1, 2.5, 5","Highest Education Achieved (most relevant, if possible)",Did you attend a tech bootcamp?,What year is this salary applicable for? ,Industry,"If you selected ""Other"" for industry, what industry is it?","Is this company considered to be FAANG/MMANGA (Microsoft, Apple, Amazon, Google, Facebook/Meta)",Company Size,,,Company Name (optional) 
59,12/7/2021 17:06:06,Alberta (AB),Software Tester,"$48,000.00",$0.00,$0.00,,"$48,000.00",9,Diploma - Related,Unknown,2021,Other,AVoiP,No,51-100,,,
60,12/7/2021 17:06:42,Remote - US,Software Engineer,"$191,000.00",$0.00,$0.00,,"$191,000.00",7,Bachelor's Degree - Related,Unknown,2021,Tech,,No,501-1000,,,
61,12/7/2021 17:07:22,Saskatchewan (SK),Software Developer,"$50,000.00",$0.00,$0.00,,"$50,000.00",0.5,Bachelor's Degree - Related,Unknown,2021,B2B,,No,11-50,,,
62,12/7/2021 17:08:05,Manitoba (MB),Junior Developer,"$75,000.00",$0.00,$0.00,,"$75,000.00",0,Bachelor's Degree - Related,Unknown,2021,Tech,,No,501-1000,,,
63,12/7/2021 17:09:04,Remote - US,Senior Machine Learning Engineer,"$175,000.00","$60,000.00","$17,500.00",,"$252,500.00",3,Masters - Related,Unknown,2021,Tech,,No,101-200,,,
64,12/7/2021 17:10:02,Ontario (ON),Fullstack Developer,"$53,000.00",$0.00,$0.00,,"$53,000.00",1,Bachelor's Degree - Related,Unknown,2021,Other,Automotives,No,< 10,,,
65,12/7/2021 17:10:56,Remote - US,Software Engineer,"$97,000.00","$14,000.00",$0.00,,"$111,000.00",0.75,Bachelor's Degree - Related,Unknown,2021,B2B,,No,1000+,,,
66,12/7/2021 17:11:40,Ontario (ON),Software Developer,"$90,000.00",$0.00,$0.00,,"$90,000.00",2,Bachelor's Degree - Related,Unknown,2021,Tech,,No,501-1000,,,
67,12/7/2021 17:13:20,Ontario (ON),Cloud DevOps Engineer,"$225,000.00",$0.00,$0.15,"50,000","$275,000.15",4,Bachelor's Degree - Related,Unknown,2021,Consulting,,No,101-200,,,
68,12/7/2021 17:14:12,Ontario (ON),Platform Engineer,"$100,000.00",$0.00,$0.12,,"$100,000.12",2.5,Bachelor's Degree - Unrelated,Unknown,2021,Other,Media,No,501-1000,,,
69,12/7/2021 17:15:04,Ontario (ON),Software Engineer,"$100,000.00","$48,000.00","$78,000.00",,"$226,000.00",2,Bachelor's Degree - Related,Unknown,2021,Tech,,No,501-1000,,,
70,12/7/2021 17:15:52,Ontario (ON),Software Development Engineer,"$115,000.00","$22,000.00","$35,000.00",,"$172,000.00",1.5,Bachelor's Degree - Unrelated,Unknown,2021,Video Games,,No,501-1000,,,
71,12/7/2021 17:16:56,Ontario (ON),Full Stack Software Engineer,"$80,000.00",$0.00,$0.00,,"$80,000.00",0,Bachelor's Degree - Unrelated,Unknown,2021,Other,,No,501-1000,,,
72,12/7/2021 17:18:16,Remote - US,Software Engineer 2,"$150,000.00","$57,000.00","$20,000.00",,"$227,000.00",2.5,Bachelor's Degree - Unrelated,Unknown,2021,Tech,,Yes,1000+,,,
73,12/7/2021 17:19:17,Remote - US,Research Engineer (AI/ML),"$160,000.00","$150,000.00",$0.00,,"$310,000.00",5,Masters - Related,Unknown,2021,Tech,,No,501-1000,,,
74,12/7/2021 17:20:09,Remote - US,Software Engineer,"$250,000.00",$0.00,"$20,000.00",,"$270,000.00",0,Bachelor's Degree - Related,Unknown,2022,FinTech,,No,501-1000,,,
75,12/7/2021 17:20:56,Remote - US,L5 Backend Software Developer,"$110,000.00","$75,000.00",$0.00,,"$185,000.00",3,Bachelor's Degree - Related,Unknown,2021,Tech,,No,501-1000,,,
76,12/7/2021 17:24:05,Ontario (ON),Fullstack Engineer,"$115,000.00",$0.00,$0.00,,"$115,000.00",9,Bachelor's Degree - Related,Unknown,2021,FinTech,,No,101-200,,,
77,12/7/2021 17:25:06,Ontario (ON),Fullstack Engineer,"$95,000.00",$0.00,$0.00,,"$95,000.00",0,Bachelor's Degree - Related,Unknown,2021,Tech,,No,11-50,,,
78,12/7/2021 17:25:56,Ontario (ON),Platform Engineer,"$135,000.00",$0.00,$0.15,,"$135,000.15",2,Masters - Unrelated,Unknown,2021,FinTech,,No,501-1000,,,
79,12/7/2021 17:26:33,Quebec (QC),Software Engineer,"$50,000.00",$0.00,$0.00,,"$50,000.00",0.5,Bachelor's Degree - Related,Unknown,2021,eCommerce,,No,< 10,,,
80,12/7/2021 17:29:28,Quebec (QC),Software Engineer,"$100,000.00","$15,000.00","$10,000.00",,"$125,000.00",4,Bachelor's Degree - Unrelated,Yes,2021,eCommerce,,No,501-1000,,,
81,12/7/2021 17:30:16,Quebec (QC),Shopify Theme Developer,"$75,000.00",$0.00,$0.10,,"$75,000.10",3.5,High School Diploma Only,Yes,2021,eCommerce,,No,51-100,,,
82,12/7/2021 17:31:09,Quebec (QC),Software Developer,"$77,000.00","$7,000.00","$12,000.00",,"$96,000.00",0.5,Bachelor's Degree - Related,No,2021,Tech,,No,501-1000,,,
83,12/7/2021 17:31:59,Quebec (QC),Software Engineer,"$95,000.00",$0.00,"$15,000.00",,"$110,000.00",4,Masters - Unrelated,No,2021,FinTech,,No,1000+,,,
84,12/7/2021 17:32:38,Quebec (QC),Software Engineer,"$120,000.00",$0.00,"$25,000.00",,"$145,000.00",2,Bachelor's Degree - Related,No,2021,FinTech,,No,501-1000,,,
85,12/7/2021 17:33:32,Quebec (QC),Senior Software Developer,"$105,000.00",$0.00,$0.20,,"$105,000.20",4,Bachelor's Degree - Related,No,2021,FinTech,,No,501-1000,,,
86,12/7/2021 17:34:47,Remote - US,Software Developer,"$150,000.00",$0.00,$0.00,,"$150,000.00",4,Bachelor's Degree - Related,No,2021,Education,,No,11-50,,,
87,12/7/2021 17:35:33,Remote - US,Solutions Engineer,"$150,000.00","$42,000.00",$0.00,,"$192,000.00",1,Bachelor's Degree - Related,No,2021,Tech,,Yes,501-1000,,,
88,12/7/2021 17:36:21,Ontario (ON),Web Developer,"$85,000.00",$0.00,$0.00,,"$85,000.00",2,Bachelor's Degree - Related,No,2021,Tech,,No,11-50,,,
89,12/7/2021 19:00:19,Ontario (ON),Software Engineer,"$120,000.00",$0.00,"$5,000.00",,"$125,000.00",6,Diploma - Related,No,2021,FinTech,,No,1000+,,,
90,12/7/2021 19:17:25,Ontario (ON),Software developer,"$62,640.00",$0.00,"$2,505.60",,"$65,145.60",0.5,High School Diploma Only,No,2022,FinTech,,No,501-1000,,,
91,12/7/2021 19:23:00,Ontario (ON),Software Engineer,"$120,000.00","$47,500.00","$15,000.00","$7,680","$190,180.00",1,Bachelor's Degree - Related,No,2022,Tech,,No,1000+,,,
92,12/7/2021 19:35:50,Ontario (ON),Senior Software Engineer,"$100,000.00",$0.00,"$15,000.00",,"$115,000.00",2.5,Bachelor's Degree - Related,No,2021,FinTech,,No,1000+,,,
93,12/7/2021 20:04:49,Remote - US,Software Engineer ,"$165,000.00",$0.00,$0.00,,"$165,000.00",2,Bachelor's Degree - Related,No,2021,Tech,,No,11-50,,,
94,12/7/2021 20:11:40,Ontario (ON),Backend Software Developer ,"$130,000.00",$0.00,$0.00,0,"$130,000.00",1,Bachelor's Degree - Related,No,2021,Tech,,No,301-500,,,
95,12/7/2021 20:25:20,Remote - US,Senior Software Developer ,"$180,000.00","$25,000.00","$18,000.00",,"$223,000.00",8,Masters - Related,No,2022,Tech,,No,501-1000,,,
96,12/7/2021 21:05:53,Ontario (ON),Associate Backend Software Engineer,"$65,000.00",$0.00,"$5,000.00",,"$70,000.00",0.5,Bachelor's Degree - Unrelated,No,2021,FinTech,,No,1000+,,,
97,12/7/2021 21:16:15,Ontario (ON),IT Team Lead,"$88,000.00",$0.00,$0.00,0,"$88,000.00",7,Bachelor's Degree - Related,No,2021,Government,,No,1000+,,,
98,12/7/2021 21:22:55,Ontario (ON),Senior Software Test Specialist,"$110,000.00",$0.00,"$11,000.00",,"$121,000.00",10,High School Diploma Only,No,2021,Transportation,,No,1000+,,,
99,12/7/2021 21:25:24,British Columbia (BC),Embedded Systems Developer Intern,"$54,000.00",$0.00,$0.00,,"$54,000.00",0,Bachelor's Degree - Unrelated,No,2021,Transportation,,No,1000+,,,
100,12/7/2021 21:38:37,Ontario (ON),Software Developer,"$107,000.00","$80,000.00","$10,000.00",,"$197,000.00",4,Bachelor's Degree - Related,No,2021,Tech,,Yes,1000+,,,
101,12/7/2021 21:47:23,British Columbia (BC),Intermediate Software Developer,"$140,000.00",$0.00,$0.00,0,"$140,000.00",3.5,Bachelor's Degree - Related,No,2021,Consulting,,No,1000+,,,
102,12/8/2021 3:38:31,Alberta (AB),Junior Software Developer,"$65,000.00",$0.00,"$5,000.00",$650,"$70,650.00",0,Bachelor's Degree - Related,No,2021,Consulting,,No,501-1000,,,
103,12/8/2021 3:40:35,Ontario (ON),Lead Full Stack,"$125,000.00","$15,000.00",$0.00,"$8,000","$148,000.00",5,Bachelor's Degree - Related,No,2021,Other,Insurance,No,501-1000,,,
104,12/8/2021 5:41:37,Quebec (QC),Senior Software Development Engineer,"$195,000.00","$75,000.00",$0.00,0,"$270,000.00",4,Bachelor's Degree - Related,No,2021,FinTech,,No,501-1000,,,
105,12/8/2021 6:42:33,Quebec (QC),Software Engineer,"$70,000.00",$0.00,"$5,000.00",0,"$75,000.00",1.5,Bachelor's Degree - Related,No,2021,Other,Power Electronics,No,11-50,,,
106,12/8/2021 8:02:54,British Columbia (BC),Principal Software Engineer,"$140,000.00",$0.00,$0.00,,"$140,000.00",15,Bachelor's Degree - Related,No,2021,eCommerce,,No,101-200,,,
107,12/8/2021 8:06:06,Alberta (AB),Senior Software Developer ,"$130,000.00",$0.00,$0.00,0,"$130,000.00",6,Bachelor's Degree - Related,No,2021,ERP or CRM,,No,501-1000,,,
108,12/8/2021 9:26:42,Ontario (ON),Junior Software Developer,"$82,000.00",$0.00,$0.00,0,"$82,000.00",0.25,High School Diploma Only,No,2022,eCommerce,,No,101-200,,,
109,12/8/2021 11:35:33,British Columbia (BC),Software Application engineer,"$73,000.00","$20,000.00","$15,000.00",,"$108,000.00",2,Bachelor's Degree - Related,Yes,2021,B2B,,No,1000+,,,
110,12/8/2021 11:58:03,Manitoba (MB),Software Developer,"$60,000.00",$0.00,$0.00,,"$60,000.00",3,Certificate - Unrelated,No,2021,Telecommunication,,No,301-500,,,
111,12/8/2021 13:13:52,Quebec (QC),Software Engineer,"$80,000.00",$0.00,"$4,000.00","$9,000","$93,000.00",9,Masters - Related,No,2021,Other,Bank,No,1000+,,,
112,12/8/2021 18:39:03,Quebec (QC),Full Stack Engineer,"$105,000.00","$57,000.00",$0.00,,"$162,000.00",3.5,Bachelor's Degree - Related,No,2022,Tech,,No,1000+,,,
113,12/8/2021 22:09:33,Ontario (ON),Backend Developer Intern,"$77,000.00",$0.00,"$6,000.00",,"$83,000.00",1,Bachelor's Degree - Related,No,2022,Tech,,No,1000+,,,
114,12/9/2021 6:45:26,Remote - US,Senior Software Developer,"$150,000.00","$20,000.00",$0.00,,"$170,000.00",6,Bachelor's Degree - Related,No,2021,Education,,No,11-50,,,
115,12/9/2021 11:59:06,Ontario (ON),Data Engineer,"$90,000.00",$0.00,$0.00,0,"$90,000.00",1,Masters - Unrelated,Yes,2022,Transportation,,No,1000+,,,
116,12/9/2021 22:20:10,Ontario (ON),Software Developer,"$85,000.00",$0.00,"$5,000.00",,"$90,000.00",2,Bachelor's Degree - Related,No,2021,Telecommunication,,No,1000+,,,
117,12/10/2021 13:41:28,Ontario (ON),Software Development Engineer,"$115,000.00","$22,000.00","$35,000.00",,"$172,000.00",1.5,Bachelor's Degree - Related,No,2021,Tech,,Yes,1000+,,,
118,12/10/2021 16:51:10,New Brunswick (NB),Programmer,"$65,000.00",$0.00,"$3,250.00",0,"$68,250.00",2,Bachelor's Degree - Related,No,2022,Other,Insurance,No,1000+,,,
119,12/10/2021 22:32:01,Remote - US,Site Reliability Engineer ,"$117,000.00",$0.00,"$16,000.00","$32,000","$165,000.00",1.5,Bachelor's Degree - Related,No,2022,Tech,,No,1000+,,,
120,12/11/2021 6:03:01,Ontario (ON),Software Development Engineer Intern,"$38,000.00",$0.00,$0.00,0,"$38,000.00",0,Bachelor's Degree - Related,No,2022,Oil and Gas/Energy,,No,11-50,,,
121,12/13/2021 10:03:04,Remote - US,Software Engineer L5,"$147,000.00","$61,000.00","$10,000.00",,"$218,000.00",4,Certificate - Related,Yes,2022,eCommerce,,No,1000+,,,
122,12/13/2021 14:21:16,Ontario (ON),Senior Software Engineer,"$130,000.00",$0.00,"$13,000.00",,"$143,000.00",9,Bachelor's Degree - Related,No,2021,FinTech,,No,201-300,,,
123,12/13/2021 16:03:06,Remote - US,Software developer,"$95,000.00","$12,500.00","$15,000.00",,"$122,500.00",1.5,Bachelor's Degree - Unrelated,No,2021,Tech,,No,501-1000,,,
124,12/14/2021 4:00:16,British Columbia (BC),Security Engineer,"$125,000.00",$0.00,"$15,000.00",0,"$140,000.00",8,High School Diploma Only,No,2021,Tech,,No,501-1000,,,
125,12/14/2021 11:13:08,British Columbia (BC),Tech Lead,"$120,000.00",$0.00,"$14,000.00",,"$134,000.00",3,Bachelor's Degree - Unrelated,No,2021,FinTech,,No,101-200,,,
126,12/14/2021 16:12:37,Manitoba (MB),Software Developer,"$62,000.00",$0.00,$0.00,,"$62,000.00",1,Bachelor's Degree - Related,No,2022,Oil and Gas/Energy,,No,101-200,,,
127,12/15/2021 21:03:25,British Columbia (BC),Junior Software Developer,"$48,000.00",$0.00,$0.00,,"$48,000.00",0.25,Diploma  - Unrelated,No,2021,eCommerce,,No,< 10,,,
128,12/16/2021 1:26:48,British Columbia (BC),Software engineer,"$95,000.00","$22,000.00","$41,400.00","$1,900","$160,300.00",1.5,Masters - Related,No,2021,Tech,,Yes,1000+,,,
129,12/16/2021 10:52:31,Ontario (ON),Backend developer,"$81,000.00",$0.00,"$2,000.00",,"$83,000.00",1.5,Bachelor's Degree - Related,No,2022,Health & Medicine,,No,201-300,,,
130,12/16/2021 11:03:26,Alberta (AB),Full Stack Developer,"$85,000.00",$0.00,$0.00,0,"$85,000.00",6,Bachelor's Degree - Related,No,2021,Tech,,No,11-50,,,
131,12/16/2021 12:58:26,Ontario (ON),Research Engineer (ML),"$160,000.00","$150,000.00",$0.00,,"$310,000.00",4.5,Masters - Related,No,2021,Tech,,No,1000+,,,
132,12/18/2021 10:28:10,Quebec (QC),Software Developer,"$80,000.00",$0.00,"$8,000.00",,"$88,000.00",1,Bachelor's Degree - Unrelated,No,2022,Video Games,,No,1000+,,,
133,12/18/2021 15:36:36,British Columbia (BC),Software Engineer,"$105,000.00","$28,000.00","$1,000.00",,"$134,000.00",2.5,Bachelor's Degree - Related,No,2021,Telecommunication,,No,501-1000,,,
134,12/18/2021 21:20:35,Ontario (ON),Software Developer,"$90,000.00",$0.00,$0.00,,"$90,000.00",4.5,Masters - Related,No,2021,Education,,No,1000+,,,
135,12/21/2021 4:56:36,Ontario (ON),Software Developer,"$140,000.00",$0.00,$0.00,,"$140,000.00",3,Bachelor's Degree - Related,No,2021,Other,Banking,No,1000+,,,
136,12/21/2021 6:18:43,Quebec (QC),Software development manager,"$135,000.00",$0.00,"$21,000.00",,"$156,000.00",20,Bachelor's Degree - Related,No,2021,Other,Marketing,No,101-200,,,
137,12/21/2021 18:34:24,Ontario (ON),Software developer,"$100,000.00","$110,000.00",$0.00,,"$210,000.00",2.5,Bachelor's Degree - Related,No,2021,Other,Sports Media/Betting,No,501-1000,,,
138,12/21/2021 18:36:27,Ontario (ON),Associate Developer,"$81,000.00",$0.00,$500.00,0,"$81,500.00",2,Bachelor's Degree - Related,No,2021,FinTech,,No,1000+,,,
139,12/22/2021 0:12:49,Quebec (QC),Web developer,"$80,000.00",$0.00,"$4,000.00",,"$84,000.00",7,Bachelor's Degree - Related,No,2021,Other,HRIS,No,101-200,,,
140,12/22/2021 3:36:18,Quebec (QC),Software engineer,"$63,000.00",$0.00,$0.00,,"$63,000.00",5,Bachelor's Degree - Related,No,2021,Telecommunication,,No,1000+,,,
141,12/22/2021 22:38:26,Ontario (ON),Software Development Engineer 1,"$111,700.00","$111,000.00","$42,900.00","34,040","$299,640.00",1.25,Bachelor's Degree - Related,No,2022,Tech,,Yes,1000+,,,
142,12/23/2021 3:00:59,British Columbia (BC),Senior Engineer,"$120,000.00","$38,500.00","$17,250.00","$10,000","$185,750.00",6,Bachelor's Degree - Related,No,2021,Tech,,No,1000+,,,
143,12/23/2021 15:54:17,Ontario (ON),Software Developer 2,"$115,000.00",$0.00,$0.00,,"$115,000.00",3,Diploma - Related,No,2021,Consulting,,No,501-1000,,,
144,12/24/2021 23:24:58,Ontario (ON),Software Developer,"$72,000.00",$0.00,"$3,000.00",,"$75,000.00",4,Bachelor's Degree - Related,No,2021,Manufacturing,,No,101-200,,,
145,12/25/2021 4:19:13,Ontario (ON),Data Engineer,"$90,000.00","$20,000.00","$9,000.00","$2,280","$121,280.00",1,Bachelor's Degree - Related,No,2021,Tech,,No,201-300,,,
146,12/28/2021 16:06:21,Ontario (ON),Software Developer,"$110,000.00",$0.00,"$1,000.00",,"$111,000.00",5,Masters - Related,No,2021,Tech,,No,1000+,,,
147,12/30/2021 21:50:48,Ontario (ON),Data Science Manager,"$162,000.00","$65,000.00",$0.00,"$90,000","$317,000.00",6,PhD - Unrelated,No,2022,eCommerce,,No,1000+,,,
148,1/3/2022 22:36:33,British Columbia (BC),Software Development Engineer 2,"$150,000.00","$75,000.00",$0.00,,"$225,000.00",3.5,Bachelor's Degree - Related,No,2021,Transportation,,Yes,1000+,,,
149,1/4/2022 9:26:48,Ontario (ON),Software Engineer,"$126,000.00","$55,000.00","$70,000.00",,"$251,000.00",2,Bachelor's Degree - Related,No,2022,FinTech,,No,1000+,,,
150,1/6/2022 19:37:12,Ontario (ON),Software Quality Engineer,"$110,000.00",$0.00,$0.00,"$3,000","$113,000.00",10,Masters - Related,No,2021,Tech,,No,101-200,,,
151,1/10/2022 13:43:33,Quebec (QC),Senior Software Developer,"$118,000.00",$0.00,"$22,000.00",,"$140,000.00",12,Masters - Related,No,2021,Tech,,No,501-1000,,,
152,1/11/2022 9:22:12,Ontario (ON),Senior Solutions Analyst,"$80,000.00",$0.00,"$8,000.00",0,"$88,000.00",2,Bachelor's Degree - Related,No,2022,FinTech,,No,< 10,,,
153,1/11/2022 9:41:36,Ontario (ON),Software Engineer,"$150,000.00","$15,000.00","$45,000.00",,"$210,000.00",1,Bachelor's Degree - Related,No,2021,Tech,,Yes,1000+,,,
154,1/12/2022 23:34:44,Ontario (ON),Software Developer 1,"$88,000.00",$0.00,"$13,800.00","$4,500","$106,300.00",1.5,Bachelor's Degree - Related,No,2022,Tech,,No,1000+,,,
155,1/14/2022 1:25:42,British Columbia (BC),Software Engineer,"$105,000.00","$35,000.00",$0.00,0,"$140,000.00",4,High School Diploma Only,Yes,2022,FinTech,,No,< 10,,,
156,1/14/2022 22:12:14,Nova Scotia (NS),Full Stack Software Developer,"$107,000.00",$0.00,$0.00,,"$107,000.00",6,Diploma - Related,No,2022,Transportation,,No,< 10,,,
157,1/16/2022 14:23:10,Ontario (ON),Director,"$140,000.00",$0.00,"$260,000.00",,"$400,000.00",4,Bachelor's Degree - Unrelated,No,2022,B2B,,No,1000+,,,
158,1/17/2022 11:09:17,Quebec (QC),Software Engineer,"$79,760.00",$0.00,"$20,000.00",0,"$99,760.00",2,Bachelor's Degree - Related,No,2022,Tech,,No,1000+,,,
159,1/17/2022 11:36:26,Ontario (ON),Cloud Engineer,"$213,000.00",$0.00,"$80,000.00",0,"$293,000.00",4.5,Bachelor's Degree - Related,No,2021,Consulting,,No,501-1000,,,
160,1/17/2022 15:15:33,Ontario (ON),Full Stack Developer,"$110,000.00","$40,000.00",$0.00,0,"$150,000.00",1.5,Bachelor's Degree - Related,No,2022,Tech,,No,501-1000,,,
161,1/17/2022 19:07:12,Ontario (ON),Software Development Engineer,"$130,000.00","$90,000.00","$20,000.00",,"$240,000.00",5,Bachelor's Degree - Related,No,2022,Tech,,Yes,1000+,,,
162,1/19/2022 11:23:14,Ontario (ON),software developer,"$80,000.00","$2,000.00","$8,000.00",,"$90,000.00",1.5,Bachelor's Degree - Related,No,2022,Telecommunication,,No,1000+,,,
163,1/24/2022 8:54:12,Ontario (ON),Software Development Engineer,"$112,000.00","$5,500.00","$34,000.00","$8,600","$160,100.00",1,Bachelor's Degree - Related,No,2022,Tech,,Yes,1000+,,,
164,1/24/2022 15:01:33,Alberta (AB),Junior Developer,"$65,000.00",$0.00,"$3,000.00",,"$68,000.00",2,Bachelor's Degree - Related,No,2022,eCommerce,,No,51-100,,,
165,1/24/2022 18:17:19,Ontario (ON),Senior QA Automation Engineer,"$130,000.00","$20,000.00",$0.00,,"$150,000.00",7,Bachelor's Degree - Related,No,2022,FinTech,,No,201-300,,,
166,1/24/2022 22:22:22,Remote - US,Software Engineer,"$135,000.00",$0.00,"$2,000.00",0,"$137,000.00",4,Bachelor's Degree - Related,No,2021,Tech,,No,201-300,,,
167,1/25/2022 14:28:38,Quebec (QC),Software Developer,"$70,000.00","$4,000.00",$0.00,,"$74,000.00",1,Bachelor's Degree - Related,No,2021,Tech,,No,1000+,,,
168,1/26/2022 22:16:59,Ontario (ON),Software Developer,"$85,000.00",$0.00,$0.00,,"$85,000.00",0,Bachelor's Degree - Related,No,2021,FinTech,,No,301-500,,,
169,1/28/2022 14:42:46,Alberta (AB),Software Engineer ,"$70,000.00","$5,000.00","$5,000.00",,"$80,000.00",1,Bachelor's Degree - Related,No,2022,Tech,,No,301-500,,,
170,1/28/2022 22:12:55,British Columbia (BC),Software Engineer 1,"$81,000.00","$20,000.00",$0.00,"$6,000","$107,000.00",2,Bachelor's Degree - Related,No,2022,Tech,,No,201-300,,,
171,1/29/2022 18:32:36,Quebec (QC),Developer,"$88,000.00",$0.00,"$3,000.00",,"$91,000.00",5,Bachelor's Degree - Related,No,2022,Consulting,,No,101-200,,,
172,1/29/2022 22:02:56,Ontario (ON),Senior DevOps Engineer,"$120,000.00",$0.00,$0.00,0,"$120,000.00",10,Masters - Related,No,2022,Consulting,,No,1000+,,,
173,1/30/2022 6:26:41,Alberta (AB),Full Stack Developer,"$36,000.00",$0.00,$0.00,0,"$36,000.00",0,Diploma - Related,No,2022,FinTech,,No,51-100,,,
174,1/31/2022 15:43:57,British Columbia (BC),Firmware Engineer - Co-op (8 months),"$72,300.00",$0.00,$0.00,0,"$72,300.00",1.33,Bachelor's Degree - Related,No,2022,Tech,Semiconductors,No,1000+,,,
175,1/31/2022 20:57:05,Ontario (ON),Software Engineer,"$123,000.00","$10,000.00","$10,000.00",,"$143,000.00",5,Bachelor's Degree - Related,No,2021,FinTech,,No,101-200,,,
176,2/1/2022 19:30:41,Ontario (ON),Software Developer Intern/Co-op,"$55,566.00",$0.00,$0.00,,"$55,566.00",1,Bachelor's Degree - Related,No,2022,FinTech,,No,1000+,,,
177,2/1/2022 21:28:18,British Columbia (BC),Machine Learning Developer 2,"$125,000.00","$20,000.00","$4,000.00",,"$149,000.00",3,Masters - Related,No,2022,Tech,,No,1000+,,,
178,2/2/2022 8:19:32,Ontario (ON),Associate Software Engineer,"$97,000.00","$14,550.00",$0.00,,"$111,550.00",2,Bachelor's Degree - Related,No,2022,ERP or CRM,,No,1000+,,,
179,2/2/2022 14:37:02,Ontario (ON),Software Engineer,"$102,600.00","$50,000.00","$68,000.00",0,"$220,600.00",3,Bachelor's Degree - Related,No,2021,Tech,,Yes,1000+,,,
180,2/3/2022 10:49:23,Ontario (ON),Software Developer,"$72,000.00",$0.00,$0.00,0,"$72,000.00",8,Diploma - Related,No,2022,Consulting,,No,< 10,,,
181,2/3/2022 12:15:02,Ontario (ON),Software Developer 2,"$85,000.00","$2,000.00","$5,000.00",,"$92,000.00",2,Bachelor's Degree - Related,No,2021,Tech,,No,1000+,,,
182,2/3/2022 19:10:53,British Columbia (BC),Software Developer,"$100,000.00",$0.00,"$15,000.00",,"$115,000.00",3,Certificate - Related,No,2022,Tech,,No,301-500,,,
183,2/4/2022 4:33:10,British Columbia (BC),Intermediate Developer,"$73,500.00",$0.00,"$1,000.00",,"$74,500.00",3,Bachelor's Degree - Related,No,2022,FinTech,,No,301-500,,,
184,2/4/2022 20:55:03,Ontario (ON),Senior Software Developer,"$150,000.00","$90,000.00","$5,000.00",,"$245,000.00",5,Bachelor's Degree - Related,No,2022,eCommerce,,No,1000+,,,
185,2/4/2022 22:27:42,Ontario (ON),Software Developer,"$105,000.00",$0.00,$0.00,"$3,000","$108,000.00",2,Bachelor's Degree - Related,No,2022,Tech,,No,51-100,,,
186,2/8/2022 10:02:50,Quebec (QC),Web Developper,"$80,000.00",$0.00,$0.00,0,"$80,000.00",3,Diploma - Related,No,2022,Consulting,,No,51-100,,,
187,2/8/2022 22:04:35,Remote - US,Software Engineer,"$130,000.00",$0.00,$0.00,,"$130,000.00",3,Bachelor's Degree - Related,No,2022,Other,Legal,No,51-100,,,
188,2/9/2022 9:26:53,Ontario (ON),Team lead,"$80,000.00",$0.00,$0.00,,"$80,000.00",6,Bachelor's Degree - Related,No,2021,Consulting,,No,11-50,,,
189,2/11/2022 8:54:59,Ontario (ON),Software Developer,"$60,000.00",$0.00,$0.00,,"$60,000.00",0.4,Diploma - Related,No,2022,Manufacturing,,No,11-50,,,
190,2/12/2022 17:26:41,Ontario (ON),Web Developer,"$70,000.00",$0.00,$0.00,0,"$70,000.00",2,Diploma - Related,No,2021,Other,Event management,No,101-200,,,
191,2/12/2022 18:26:04,British Columbia (BC),Software Engineer 3,"$120,000.00",$0.00,"$6,000.00",,"$126,000.00",5,Bachelor's Degree - Related,No,2022,Video Games,,No,201-300,,,
192,2/16/2022 13:14:42,Newfoundland & Labrador (NL),Software Team Lead,"$62,000.00",$0.00,$0.00,,"$62,000.00",2,Bachelor's Degree - Related,No,2022,eCommerce,,No,< 10,,,
193,2/16/2022 13:16:10,Ontario (ON),Senior Web Developer,"$113,000.00",$0.00,"$10,000.00",,"$123,000.00",14,Bachelor's Degree - Related,No,2022,ERP or CRM,,No,1000+,,,
194,2/17/2022 20:40:59,Ontario (ON),Software Developer,"$92,000.00","$3,000.00",$0.00,,"$95,000.00",4.16,Bachelor's Degree - Related,No,2022,Tech,,No,1000+,,,
195,2/18/2022 5:27:24,Ontario (ON),Cloud Developer,"$105,000.00",$0.00,"$10,000.00",,"$115,000.00",2.5,Bachelor's Degree - Related,No,2022,Video Games,,No,1000+,,,
196,2/19/2022 7:18:11,Ontario (ON),Engineering Manager,"$137,000.00",$0.00,"$10,000.00",,"$147,000.00",8,Diploma - Related,No,2022,Consulting,,No,1000+,,,
197,2/22/2022 12:45:58,Ontario (ON),Junior Full Stack Developer,"$50,000.00",$0.00,$0.00,,"$50,000.00",1,Diploma - Related,No,2022,ERP or CRM,,No,11-50,,,
198,2/22/2022 18:40:17,Ontario (ON),Software Developer,"$90,000.00",$0.00,$0.00,,"$90,000.00",1.5,Bachelor's Degree - Related,No,2022,eCommerce,,No,501-1000,,,
199,2/24/2022 17:31:07,Quebec (QC),AI Researcher,"$145,000.00","$5,000.00","$14,500.00",,"$164,500.00",7,Masters - Related,No,2021,Tech,,No,51-100,,,
